organization,release_count,total_labor_hours,all_in_production,licenses,most_active_months
Sandia National Laboratories (SNL),413,428436578.39999986,False,"['N/A', 'Apache-2.0', 'LGPL-2.1', 'MPL-2.0', 'LGPL-3.0', 'BSD-3-Clause', 'GPL-3.0', 'GPL-2.0', 'Unlicense', 'Other', 'BSD-2-Clause', 'EPL-1.0', 'GPL-2.1', 'MIT']","[10, 11, 9]"
Lawrence Livermore National Laboratory (LLNL),533,48608140.79999998,False,"['Apache-2.0', 'LGPL-2.1', 'LGPL-3.0', 'MIT', 'BSD-3-Clause', 'GPL-3.0', 'GPL-2.0', 'Other', 'BSD-2-Clause', 'AGPL-3.0', 'GPL-2.1']","[7, 10, 5]"
Lawrence Berkeley National Laboratory (LBNL),234,32509775.200000007,False,"['Apache-2.0', 'BSD-3-Clause', 'GPL-3.0', 'GPL-2.0', 'BSD-2-Clause', 'Other', 'MIT']","[10, 6, 7]"
Argonne National Laboratory (ANL),75,2233472.8,False,"['LGPL-3.0', 'BSD-3-Clause', 'GPL-3.0', 'GPL-2.0', 'BSD-2-Clause', 'Other', 'MIT']","[8, 7, 10]"
Pacific Northwest National Laboratory (PNNL),322,11452728.799999991,False,"['N/A', 'Apache-2.0', 'LGPL-2.1', 'BSD-3-Clause', 'GPL-3.0', 'GPL-2.0', 'BSD-2-Clause', 'Other', 'MIT']","[2, 10, 8]"
National Renewable Energy Laboratory (NREL),197,44360287.999999985,False,"['N/A', 'Apache-2.0', 'LGPL-2.1', 'LGPL-3.0', 'BSD-3-Clause', 'GPL-3.0', 'GPL-2.0', 'BSD-2-Clause', 'Other', 'AGPL-3.0', 'MIT']","[10, 9, 11]"
Oak Ridge National Laboratory (ORNL),174,23599580.800000012,False,"['Apache-2.0', 'LGPL-2.1', 'MPL-2.0', 'LGPL-3.0', 'BSD-3-Clause', 'GPL-3.0', 'GPL-2.0', 'Other', 'BSD-2-Clause', 'EPL-1.0', 'GPL-2.1', 'MIT']","[10, 4, 11]"
Brookhaven National Laboratory (BNL),77,335266.39999999985,False,"['Apache-2.0', 'LGPL-3.0', 'BSD-3-Clause', 'GPL-3.0', 'BSD-2-Clause', 'Other', 'MIT']","[7, 9, 10]"
Contractor (CONTR),38,2616786.4000000004,False,"['Apache-2.0', 'BSD-3-Clause', 'GPL-3.0', 'GPL-2.0', 'BSD-2-Clause', 'Other', 'MIT']","[10, 11, 1]"
Los Alamos National Laboratory (LANL),131,21414383.200000003,False,"['Apache-2.0', 'LGPL-2.1', 'BSD-3-Clause', 'GPL-3.0', 'GPL-2.0', 'Other', 'BSD-2-Clause', 'EPL-1.0', 'MIT']","[10, 9, 3]"
Idaho National Laboratory (INL),47,3456844.8000000003,False,"['Apache-2.0', 'LGPL-2.1', 'MPL-2.0', 'LGPL-3.0', 'BSD-3-Clause', 'GPL-2.0', 'MIT']","[5, 10, 9]"
Thomas Jefferson National Accelerator Facility (TJNAF),5,758404.0,False,"['BSD-3-Clause', 'Other']","[10, 5, 2]"
Ames Laboratory (AMES),5,215049.59999999998,True,['BSD-3-Clause'],[10]
National Energy Technology Laboratory (NETL),1,7220.0,True,['Other'],[10]
Office of Scientific and Technical Information (OSTI),616,95298680.00000001,False,"['N/A', 'Apache-2.0', 'LGPL-2.1', 'LGPL-3.0', 'BSD-3-Clause', 'Other', 'BSD-2-Clause', 'MIT']","[9, 8, 5]"
SLAC National Accelerator Laboratory (SLAC),61,1406532.0000000002,False,"['N/A', 'Apache-2.0', 'LGPL-3.0', 'Other', 'MIT']","[2, 5, 6]"
Fermi National Accelerator Laboratory (FNAL),20,35203.200000000004,False,"['Apache-2.0', 'BSD-3-Clause', 'GPL-3.0', 'GPL-2.0', 'Other', 'MIT']","[7, 3, 10]"
Princeton Plasma Physics Laboratory (PPPL),15,1936723.2,False,"['BSD-3-Clause', 'GPL-3.0', 'Other', 'AGPL-3.0', 'MIT']","[6, 7, 2]"
Nevada National Security Site/Mission Support and Test Services LLC (MSTS),1,881.6,True,['Unlicense'],[10]
USDOE Advanced Research Projects Agency – Energy (ARPA-E) (United States) (ARPA-E),1,0.0,True,['Other'],[10]
